2018-4-03 12:14:10,32.36999893,0.0,65.6,Montgomery,Partly Cloudy,KALMONTG57,253,-86.30000305,180
2018-4-03 12:14:28,58.36000061,0.0,38,Juneau,Mostly Cloudy,MLMNA2,13,-134.53999329,72
2018-4-03 12:16:16,39.15000153,0.0,41.1,Dover,Light Rain,KDEDOVER15,39,-75.51999664,244
2018-4-03 12:15:04,34.75000000,0.0,68.4,Little Rock,Overcast,KARLITTL86,374,-92.27999878,156
2018-4-03 12:15:22,38.58000183,0.0,53.3,Sacramento,Clear,KCASACRA134,24,-121.48999786,112
2018-4-03 12:14:46,33.45000076,0.0,63.5,Phoenix,Clear,KAZPHOEN502,1478,-112.06999969,129
2018-4-03 12:15:40,39.74000168,0.0,33.7,Denver,Partly Cloudy,KCODENVE131,5253,-104.98000336,135
2018-4-03 12:19:34,44.31999969,0.0,29.1,Augusta,Clear,KMEAUGUS19,108,-69.76999664,231
2018-4-03 12:15:58,41.77999878,0.0,34.7,Hartford,Mostly Cloudy,KCTHARTF3,111,-72.66000366,5
2018-4-03 12:16:34,30.43000031,0.0,61.6,Tallahassee,Overcast,KFLTALLA143,203,-84.26000214,198
2018-4-03 12:16:52,33.75000000,0.0,61.3,Atlanta,Clear,KGAATLAN330,1057,-84.38999939,113
2018-4-03 12:17:10,21.30999947,0.0,71.1,Honolulu,Mostly Cloudy,KHIHONOL158,174,-157.86000061,213
2018-4-03 12:17:28,43.61000061,0.0,27,Boise,Clear,KIDBOISE193,2777,-116.19999695,135
2018-4-03 12:17:46,39.79999924,0.0,42.8,Springfield,Overcast,KILSPRIN65,591,-89.65000153,264
2018-4-03 12:18:45,39.09000015,0.0,37.6,Topeka,Light Rain,KKSTOPEK85,964,-95.61000061,337
2018-4-03 12:18:04,39.77999878,0.0,49.2,Indianapolis,Rain,KININDIA238,797,-86.11000061,113
2018-4-03 12:18:22,41.59999847,0.0,32.2,Des Moines,Overcast,KIADESMO22,814,-93.61000061,180
2018-4-03 12:18:58,38.20000076,0.0,54.9,Frankfort,Mostly Cloudy,KKYFRANK26,660,-84.87000275,203
2018-4-03 12:19:16,30.45000076,0.0,70,Baton Rouge,Mostly Cloudy,KLABATON92,79,-91.19000244,131
2018-4-03 12:19:52,39.00000000,0.0,44.4,Annapolis,Overcast,KMDANNAP2596,65,-76.51000214,210
2018-4-03 12:24:22,40.09999847,0.0,41.9,Columbus,Rain,KOHWORTH5,902,-83.01999664,135
2018-4-03 12:20:10,42.36000061,0.0,28.6,Boston,Clear,KMABOSTO258,0,-71.06999969,270
2018-4-03 12:20:28,42.72999954,0.0,35.6,Lansing,Overcast,KMILANSI51,0,-84.55999756,158
2018-4-03 12:21:04,32.29999924,0.0,67.8,Jackson,Mostly Cloudy,KMSJACKS11,318,-90.18000031,243
2018-4-03 12:20:46,44.95000076,0.0,27.1,Saint Paul,Light Snow,KMNSAINT170,0,-93.08000183,23
2018-4-03 12:22:34,43.20999908,0.0,29.1,Concord,Clear,KNHCONCO43,312,-71.54000092,53
2018-4-03 12:21:40,46.61000061,0.0,12,Helena,Overcast,KMTHELEN74,3871,-112.05000305,113
2018-4-03 12:21:22,38.54000092,0.0,41.4,Jefferson City,Overcast,KMOJEFFE33,751,-92.16000366,90
2018-4-03 12:21:58,40.79999924,0.0,30.6,Lincoln,Overcast,KNELINCO148,1165,-96.66999817,38
2018-4-03 12:22:16,39.15000153,0.0,35.2,Carson City,Clear,KNVCARSO46,4669,-119.75000000,22
2018-4-03 12:23:10,35.68999863,0.0,48.4,Santa Fe,Clear,KNMSANTA165,6942,-105.94999695,354
2018-4-03 12:22:52,40.22000122,0.0,36.9,Trenton,Overcast,KPAMORRI2,89,-74.73999786,180
2018-4-03 12:23:28,42.65000153,0.0,34,Albany,Mostly Cloudy,KNYALBAN33,226,-73.76000214,328
2018-4-03 12:23:46,35.77000046,0.0,47.1,Raleigh,Overcast,KNCRALEI307,302,-78.62999725,196
2018-4-03 12:24:58,44.93000031,0.0,33.3,Salem,Clear,KORSALEM202,213,-122.98000336,30
2018-4-03 12:24:04,46.81999969,0.0,9,Bismarck,Overcast,KNDBISMA27,1732,-100.69999695,23
2018-4-03 12:24:40,35.47000122,0.0,64.4,Oklahoma City,Overcast,KOKOKLAH72,1220,-97.51999664,134
2018-4-03 12:25:34,41.81999969,0.0,33.1,Providence,Clear,KRIPROVI8,81,-71.41000366,272
2018-4-03 12:26:28,36.16999817,0.0,56.3,Nashville,Rain,KTNNASHV182,0,-86.77999878,52
2018-4-03 12:25:52,34.00000000,0.0,55.7,Columbia,Clear,KSCCOLUM61,259,-81.02999878,293
2018-4-03 12:25:16,40.25999832,0.0,38.8,Harrisburg,Overcast,KPAHARRI66,472,-76.87999725,283
2018-4-03 12:27:23,44.25999832,0.0,27,Montpelier,Overcast,KVTMONTP5,580,-72.58000183,191
2018-4-03 12:26:14,44.36999893,0.0,19,Pierre,Overcast,KSDPIERR28,1578,-100.34999847,335
2018-4-03 12:27:05,40.75999832,0.0,28,Salt Lake City,Clear,ME7885,4303,-111.90000153,128
2018-4-03 12:26:47,30.27000046,0.0,68.5,Austin,Overcast,KTXAUSTI1251,1037,-97.73999786,292
2018-4-03 12:27:58,47.00999832,0.0,38.7,Olympia,Overcast,KWAOLYMP210,82,-122.87999725,225
2018-4-03 12:28:35,43.06999969,0.0,30.6,Madison,Overcast,KWIMADIS52,896,-89.40000153,85
2018-4-03 12:27:40,37.54999924,0.0,44.1,Richmond,Overcast,KVARICHM156,223,-77.45999908,105
2018-4-03 12:28:16,38.34999847,0.0,47.8,Charleston,Overcast,KWVCHARL31,807,-81.62999725,246
2018-4-03 12:28:53,41.13999939,0.0,22.3,Cheyenne,Clear,KWYCHEYE62,6086,-104.80000305,235
2018-4-03 12:31:54,33.75000000,0.0,61,Atlanta,Clear,KGAATLAN330,1057,-84.38999939,248
2018-4-03 12:31:17,39.15000153,0.0,41,Dover,Overcast,KDEDOVER15,39,-75.51999664,74
2018-4-03 12:29:11,32.36999893,0.0,65.2,Montgomery,Partly Cloudy,KALMONTG57,253,-86.30000305,180
2018-4-03 12:29:29,58.36000061,0.0,38,Juneau,Mostly Cloudy,MLMNA2,13,-134.53999329,72
2018-4-03 12:29:47,33.45000076,0.0,62.2,Phoenix,Clear,KAZPHOEN502,1478,-112.06999969,151
2018-4-03 12:30:05,34.75000000,0.0,68.4,Little Rock,Overcast,KARLITTL86,374,-92.27999878,199
